"","gene","symbol","name","locus_group","ensembl_id","gene_type","genomic_position_ucsc_link","p53_expression_score_55_to_57","p53_median_log2fc","p53_bound_tss","p53_bound_enhancer","rfx7_target","cell_cycle_expression_score_0_to_9","cell_cycle_gene_category","dream_target","mmb_foxm1_target","rb_e2f_target","d_np63_expression_score_12_to_14","d_np63_target","potential_d_np63_target","uni_prot_kb_id","p53_expression_score_protein_5_to_5","p53_median_log2fc_protein","mouse_ensembl_id","mouse_genomic_position","mouse_gene_name","mouse_p53_expression_score_13_to_15","mouse_p53_target","locus_type","entrez_id"
"649","ETV6","ETV6","ETS variant transcription factor 6","protein-coding gene","ENSG00000139083","protein_coding","chr12:11649674-11895377","12","0.15","no","yes","no","2","-","no","no","no","-6","no","yes","P41212","1","0.16","ENSMUSG00000030199","chr6:134035700-134270158","Etv6","-2","no","gene with protein product","2120"
"650","APP","APP","amyloid beta precursor protein","protein-coding gene","ENSG00000142192","protein_coding","chr21:25880550-26171128","12","0.13","no","yes","no","1","-","no","no","no","-3","no","yes","P05067","3","0.47","ENSMUSG00000022892","chr16:84949685-85173766","App","1","no","gene with protein product","351"
"651","NR3C1","NR3C1","nuclear receptor subfamily 3 group C member 1","protein-coding gene","ENSG00000113580","protein_coding","chr5:143277931-143435512","12","0.12","no","yes","no","2","-","no","no","no","3","no","yes","P04150","3","0.37","ENSMUSG00000024431","chr18:39410545-39519421","Nr3c1","3","no","gene with protein product","2908"
"652","STAT1","STAT1","signal transducer and activator of transcription 1","protein-coding gene","ENSG00000115415","protein_coding","chr2:190908460-191020960","12","0.12","yes","yes","no","4","G2/M","yes","no","no","1","no","no","P42224","0","0.03","ENSMUSG00000026104","chr1:52119440-52161865","Stat1","0","no","gene with protein product","6772"
"653","GSE1","GSE1","Gse1 coiled-coil protein","protein-coding gene","ENSG00000131149","protein_coding","chr16:85169525-85676204","12","0.12","yes","yes","no","2","-","no","no","no","-6","no","yes","Q14687","0","0.02","ENSMUSG00000031822","chr8:120228456-120581390","Gse1","7","yes","gene with protein product","23199"
"654","ANXA2","ANXA2","annexin A2","protein-coding gene","ENSG00000182718","protein_coding","chr15:60347134-60402883","12","0.12","yes","no","no","2","-","no","no","no","0","no","no","P07355","5","0.39","ENSMUSG00000032231","chr9:69453620-69491795","Anxa2","-3","no","gene with protein product","302"
"655","SIPA1L3","SIPA1L3","signal induced proliferation associated 1 like 3","protein-coding gene","ENSG00000105738","protein_coding","chr19:37907208-38208369","12","0.1","no","yes","no","1","-","no","no","no","1","no","no","O60292","0","0.21","ENSMUSG00000030583","chr7:29320372-29518641","Sipa1l3","0","no","gene with protein product","23094"
"656","TRIM2","TRIM2","tripartite motif containing 2","protein-coding gene","ENSG00000109654","protein_coding","chr4:153152163-153339319","12","0.09","no","yes","no","4","UNCLEAR","no","no","no","-6","no","no","-","-","-","ENSMUSG00000027993","chr3:84160439-84306877","Trim2","-5","no","gene with protein product","23321"
"657","SH3BGRL3","SH3BGRL3","SH3 domain binding glutamate rich protein like 3","protein-coding gene","ENSG00000142669","protein_coding","chr1:26280086-26281522","12","0.09","no","yes","no","2","-","no","no","no","-1","no","no","Q9H299","2","0.25","ENSMUSG00000028843","chr4:134127406-134128789","Sh3bgrl3","8","yes","gene with protein product","83442"
"658","PABPC1P4","PABPC1P4","poly(A) binding protein cytoplasmic 1 pseudogene 4","pseudogene","ENSG00000255642","processed_pseudogene","chr12:63822021-63823895","12","0.09","yes","no","no","2","-","no","no","no","-","-","-","-","-","-","-","-","-","-","-","pseudogene","341315"
"659","NCBP2","NCBP2","nuclear cap binding protein subunit 2","protein-coding gene","ENSG00000114503","protein_coding","chr3:196935402-196942594","12","0.07","yes","yes","no","1","-","no","no","no","2","no","no","P52298","-1","-0.09","ENSMUSG00000022774","chr16:31948513-31961781","Ncbp2","0","no","gene with protein product","22916"
"660","FAM104A","VCF1","VCP nuclear cofactor family member 1","protein-coding gene","ENSG00000133193","protein_coding","chr17:73207353-73236753","12","0.06","yes","no","no","3","G2/M","no","no","no","0","no","no","-","-","-","ENSMUSG00000041629","chr11:113661319-113684155","Fam104a","-1","no","gene with protein product","84923"
"661","HMOX2","HMOX2","heme oxygenase 2","protein-coding gene","ENSG00000103415","protein_coding","chr16:4474690-4510347","12","0.03","no","yes","no","2","-","no","no","no","3","no","yes","P30519","1","0.19","ENSMUSG00000004070","chr16:4726361-4766742","Hmox2","0","no","gene with protein product","3163"
"662","FXYD2","FXYD2","FXYD domain containing ion transport regulator 2","protein-coding gene","ENSG00000137731","protein_coding","chr11:117800844-117828698","11","1.68","yes","yes","no","0","-","no","no","no","3","no","yes","-","-","-","-","-","-","-","-","gene with protein product","486"
"663","DMBT1","DMBT1","deleted in malignant brain tumors 1","protein-coding gene","ENSG00000187908","protein_coding","chr10:122560665-122643736","11","0.88","no","yes","no","1","-","no","no","no","-1","no","no","Q9UGM3","0","1.06","ENSMUSG00000047517","chr7:131032046-131121628","Dmbt1","2","no","gene with protein product","1755"
"664","AL355916.1","LINC03033","long intergenic non-protein coding RNA 3033","non-coding RNA","ENSG00000232774","lncRNA","chr14:61570405-61658696","11","0.86","no","yes","no","1","-","no","no","no","-","-","-","-","-","-","-","-","-","-","-","RNA, long non-coding","400221"
"665","CD36","CD36","CD36 molecule (CD36 blood group)","protein-coding gene","ENSG00000135218","protein_coding","chr7:80369575-80679277","11","0.7","yes","no","no","1","-","no","no","no","1","no","no","-","-","-","ENSMUSG00000002944","chr5:17781690-17888801","Cd36","0","no","gene with protein product","948"
"666","CDH13","CDH13","cadherin 13","protein-coding gene","ENSG00000140945","protein_coding","chr16:82626965-83800640","11","0.39","no","yes","no","1","-","no","no","no","1","no","no","P55290","2","0.42","ENSMUSG00000031841","chr8:118283733-119324921","Cdh13","2","no","gene with protein product","1012"
"667","ICAM1","ICAM1","intercellular adhesion molecule 1","protein-coding gene","ENSG00000090339","protein_coding","chr19:10271093-10286615","11","0.36","no","yes","no","2","-","no","no","no","1","no","no","P05362","1","0.06","ENSMUSG00000037405","chr9:21015985-21028817","Icam1","12","yes","gene with protein product","3383"
"668","MAP3K9","MAP3K9","mitogen-activated protein kinase kinase kinase 9","protein-coding gene","ENSG00000006432","protein_coding","chr14:70722526-70809534","11","0.33","yes","no","no","1","-","no","no","no","6","no","yes","-","-","-","ENSMUSG00000042724","chr12:81721010-81781175","Map3k9","8","no","gene with protein product","4293"
"669","MT-TP","MT-TP","mitochondrially encoded tRNA-Pro (CCN)","non-coding RNA","ENSG00000210196","Mt_tRNA","chrM:15956-16023","11","0.31","yes","no","no","1","-","no","no","no","-","-","-","-","-","-","-","-","-","-","-","RNA, transfer","4571"
"670","CCDC146","CCDC146","coiled-coil domain containing 146","protein-coding gene","ENSG00000135205","protein_coding","chr7:77122434-77329533","11","0.25","yes","yes","no","1","-","no","no","no","-3","no","yes","-","-","-","ENSMUSG00000064280","chr5:21292961-21424677","Ccdc146","2","no","gene with protein product","57639"
"671","C1QTNF1","C1QTNF1","C1q and TNF related 1","protein-coding gene","ENSG00000173918","protein_coding","chr17:79022814-79049788","11","0.24","no","yes","no","1","-","no","no","no","-3","no","no","-","-","-","ENSMUSG00000017446","chr11:118428203-118449963","C1qtnf1","-1","no","gene with protein product","114897"
"672","DDIT3","DDIT3","DNA damage inducible transcript 3","protein-coding gene","ENSG00000175197","protein_coding","chr12:57516588-57521737","11","0.24","yes","no","no","3","G1/S","no","no","no","1","no","no","-","-","-","ENSMUSG00000025408","chr10:127290774-127296288","Ddit3","1","no","gene with protein product","1649"
"673","LINC01503","LINC01503","long intergenic non-protein coding RNA 1503","non-coding RNA","ENSG00000233901","lncRNA","chr9:129332300-129359541","11","0.24","yes","yes","no","1","-","no","no","no","1","no","no","-","-","-","-","-","-","-","-","RNA, long non-coding","100506119"
"674","ZBTB20","ZBTB20","zinc finger and BTB domain containing 20","protein-coding gene","ENSG00000181722","protein_coding","chr3:114314500-115147288","11","0.23","yes","no","no","1","-","no","no","no","-2","no","no","Q9HC78","1","0.43","ENSMUSG00000022708","chr16:42875881-43642602","Zbtb20","-1","no","gene with protein product","26137"
"675","NDUFA13","NDUFA13","NADH:ubiquinone oxidoreductase subunit A13","protein-coding gene","ENSG00000186010","protein_coding","chr19:19515736-19529054","11","0.23","yes","yes","no","2","-","no","no","no","-3","no","no","Q9P0J0","1","0.14","ENSMUSG00000036199","chr8:69894180-69902558","Ndufa13","1","no","gene with protein product","51079"
"676","TUBG2","TUBG2","tubulin gamma 2","protein-coding gene","ENSG00000037042","protein_coding","chr17:42659284-42667006","11","0.22","no","yes","no","1","-","no","no","no","1","no","no","-","-","-","ENSMUSG00000045007","chr11:101155907-101161787","Tubg2","-3","no","gene with protein product","27175"
"677","STOX2","STOX2","storkhead box 2","protein-coding gene","ENSG00000173320","protein_coding","chr4:183797692-184023526","11","0.22","yes","no","no","1","-","no","no","no","1","no","no","-","-","-","ENSMUSG00000038143","chr8:47180048-47446362","Stox2","6","yes","gene with protein product","56977"
"678","NEK10","NEK10","NIMA related kinase 10","protein-coding gene","ENSG00000163491","protein_coding","chr3:27110085-27369460","11","0.2","yes","no","no","2","-","no","no","no","0","no","no","-","-","-","ENSMUSG00000042567","chr14:14803415-15012059","Nek10","1","no","gene with protein product","152110"
"679","PRKCH","PRKCH","protein kinase C eta","protein-coding gene","ENSG00000027075","protein_coding","chr14:61187559-61550976","11","0.19","yes","yes","no","2","-","no","no","no","4","no","yes","-","-","-","-","-","-","-","-","gene with protein product","5583"
"680","RCBTB1","RCBTB1","RCC1 and BTB domain containing protein 1","protein-coding gene","ENSG00000136144","protein_coding","chr13:49531946-49585558","11","0.19","yes","yes","no","2","-","no","no","no","1","no","no","-","-","-","ENSMUSG00000035469","chr14:59201209-59237265","Rcbtb1","0","no","gene with protein product","55213"
"681","BOD1L1","BOD1L1","biorientation of chromosomes in cell division 1 like 1","protein-coding gene","ENSG00000038219","protein_coding","chr4:13568738-13627725","11","0.18","yes","no","no","2","-","no","no","no","1","no","no","Q8NFC6","-2","-0.31","ENSMUSG00000061755","chr5:41787538-41844315","Bod1l","-2","no","gene with protein product","259282"
"682","KDM6A","KDM6A","lysine demethylase 6A","protein-coding gene","ENSG00000147050","protein_coding","chrX:44873188-45112779","11","0.18","no","yes","no","3","G2/M","no","no","no","-3","no","yes","O15550","0","0.03","ENSMUSG00000037369","chrX:18162575-18279936","Kdm6a","-1","no","gene with protein product","7403"
"683","FOXN3","FOXN3","forkhead box N3","protein-coding gene","ENSG00000053254","protein_coding","chr14:89124871-89619149","11","0.17","no","yes","no","2","-","no","no","no","-1","no","no","-","-","-","ENSMUSG00000033713","chr12:99190078-99563582","Foxn3","-3","no","gene with protein product","1112"
"684","PCNA","PCNA","proliferating cell nuclear antigen","protein-coding gene","ENSG00000132646","protein_coding","chr20:5114953-5126626","11","0.17","yes","yes","no","9","G1/S","yes","no","yes","6","no","yes","P12004","0","0.02","ENSMUSG00000027342","chr2:132249162-132253314","Pcna","-5","no","gene with protein product","5111"
"685","ZNF33B","ZNF33B","zinc finger protein 33B","protein-coding gene","ENSG00000196693","protein_coding","chr10:42574185-42638570","11","0.17","yes","no","no","1","-","no","no","no","-3","no","yes","-","-","-","-","-","-","-","-","gene with protein product","7582"
"686","STPG1","STPG1","sperm tail PG-rich repeat containing 1","protein-coding gene","ENSG00000001460","protein_coding","chr1:24356999-24416934","11","0.15","yes","yes","no","1","-","no","no","no","1","no","no","-","-","-","ENSMUSG00000028801","chr4:135494790-135537803","Stpg1","1","no","gene with protein product","90529"
"687","OGA","OGA","O-GlcNAcase","protein-coding gene","ENSG00000198408","protein_coding","chr10:101784443-101818465","11","0.15","yes","no","no","2","-","no","no","no","-2","no","no","O60502","0","0.00","ENSMUSG00000025220","chr19:45750259-45783837","Mgea5","2","no","gene with protein product","10724"
"688","RPS20","RPS20","ribosomal protein S20","protein-coding gene","ENSG00000008988","protein_coding","chr8:56067254-56074510","11","0.14","yes","yes","no","2","-","no","no","no","-3","no","yes","P60866","-1","-0.10","ENSMUSG00000028234","chr4:3831334-3835665","Rps20","-2","no","gene with protein product","6224"
"689","DECR1","DECR1","2,4-dienoyl-CoA reductase 1","protein-coding gene","ENSG00000104325","protein_coding","chr8:90001405-90053633","11","0.14","no","yes","no","2","-","no","no","no","-7","no","no","Q16698","2","0.23","ENSMUSG00000028223","chr4:15917240-15945507","Decr1","0","no","gene with protein product","1666"
"690","EEF1A1","EEF1A1","eukaryotic translation elongation factor 1 alpha 1","protein-coding gene","ENSG00000156508","protein_coding","chr6:73489308-73525587","11","0.14","yes","yes","no","2","-","no","no","no","-2","no","no","P68104","0","-0.23","-","-","-","-","-","gene with protein product","1915"
"691","TSC1","TSC1","TSC complex subunit 1","protein-coding gene","ENSG00000165699","protein_coding","chr9:132891348-132946874","11","0.14","no","yes","no","2","-","no","no","no","-1","no","no","Q92574","1","0.13","ENSMUSG00000026812","chr2:28641228-28691167","Tsc1","0","no","gene with protein product","7248"
"692","POLR2H","POLR2H","RNA polymerase II, I and III subunit H","protein-coding gene","ENSG00000163882","protein_coding","chr3:184361718-184368596","11","0.12","yes","no","no","2","-","no","no","no","3","no","no","P52434","1","0.03","ENSMUSG00000021018","chr16:20717665-20722267","Polr2h","2","no","gene with protein product","5437"
"693","SEMA3C","SEMA3C","semaphorin 3C","protein-coding gene","ENSG00000075223","protein_coding","chr7:80742538-80922359","11","0.11","no","yes","no","3","G2/M","no","no","no","-4","no","yes","Q99985","0","-0.14","ENSMUSG00000028780","chr5:17574281-17730268","Sema3c","2","no","gene with protein product","10512"
"694","RIN3","RIN3","Ras and Rab interactor 3","protein-coding gene","ENSG00000100599","protein_coding","chr14:92513781-92688994","11","0.1","no","yes","no","1","-","no","no","no","-2","no","no","-","-","-","ENSMUSG00000044456","chr12:102283048-102390855","Rin3","-3","no","gene with protein product","79890"
"695","AMOTL1","AMOTL1","angiomotin like 1","protein-coding gene","ENSG00000166025","protein_coding","chr11:94706431-94876748","11","0.1","yes","yes","no","3","G1/S","no","no","no","7","no","yes","Q8IY63","-1","-0.14","ENSMUSG00000013076","chr9:14541966-14645056","Amotl1","2","no","gene with protein product","154810"
"696","INO80C","INO80C","INO80 complex subunit C","protein-coding gene","ENSG00000153391","protein_coding","chr18:35452230-35497979","11","0.09","yes","yes","no","1","-","no","no","no","5","no","yes","Q6PI98","0","-0.07","ENSMUSG00000047989","chr18:24104757-24121953","Ino80c","1","no","gene with protein product","125476"
"697","CARD19","CARD19","caspase recruitment domain family member 19","protein-coding gene","ENSG00000165233","protein_coding","chr9:93096217-93113283","11","0.09","no","yes","no","2","-","no","no","no","-1","no","no","Q96LW7","3","0.38","ENSMUSG00000037960","chr13:49202950-49216037","Card19","0","no","gene with protein product","84270"
"698","GBA","GBA1","glucosylceramidase beta 1","protein-coding gene","ENSG00000177628","protein_coding","chr1:155234452-155244699","11","0.07","yes","no","no","1","-","no","no","no","-1","no","no","P04062","3","0.26","ENSMUSG00000028048","chr3:89202928-89208966","Gba","4","no","gene with protein product","2629"
"699","SERTAD2","SERTAD2","SERTA domain containing 2","protein-coding gene","ENSG00000179833","protein_coding","chr2:64631621-64751005","11","0.07","no","yes","no","3","G2/M","no","no","no","4","no","yes","-","-","-","ENSMUSG00000049800","chr11:20543253-20653021","Sertad2","-2","no","gene with protein product","9792"
